shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10173,-20.268816,148.721873,220037
10173,-20.268841,148.721864,220038
10173,-20.268864,148.721850,220039
10173,-20.268884,148.721831,220040
10173,-20.268899,148.721808,220041
10173,-20.268910,148.721783,220042
10173,-20.269098,148.721797,220043
10173,-20.269385,148.721660,220044
10173,-20.269506,148.721610,220045
10173,-20.269637,148.721591,220046
10173,-20.269723,148.721566,220047
10173,-20.269723,148.721566,230001
10173,-20.269816,148.721539,230002
10173,-20.269869,148.721512,230003
10173,-20.269888,148.721540,230004
10173,-20.269912,148.721563,230005
10173,-20.269940,148.721581,230006
10173,-20.269971,148.721591,230007
10173,-20.270003,148.721595,230008
10173,-20.270035,148.721591,230009
10173,-20.270066,148.721581,230010
10173,-20.270094,148.721563,230011
10173,-20.270118,148.721540,230012
10173,-20.270139,148.721507,230013
10173,-20.270229,148.721546,230014
10173,-20.270575,148.721660,230015
10173,-20.270916,148.721858,230016
10173,-20.271342,148.722121,230017
10173,-20.272256,148.722634,230018
10173,-20.272574,148.722841,230019
10173,-20.272857,148.723061,230020
10173,-20.272944,148.723142,230021
10173,-20.272944,148.723142,240001
10173,-20.273130,148.723316,240002
10173,-20.273472,148.723684,240003
10173,-20.273609,148.723813,240004
10173,-20.273773,148.723921,240005
10173,-20.274104,148.724098,240006
10173,-20.274524,148.724315,240007
10173,-20.274524,148.724315,250001
10173,-20.274703,148.724408,250002
10173,-20.274744,148.724437,250003
10173,-20.274737,148.724447,250004
10173,-20.274721,148.724484,250005
10173,-20.274714,148.724521,250006
10173,-20.274714,148.724561,250007
10173,-20.274721,148.724599,250008
10173,-20.274737,148.724635,250009
10173,-20.274758,148.724667,250010
10173,-20.274786,148.724694,250011
10173,-20.274798,148.724701,250012
10173,-20.274818,148.724714,250013
10173,-20.274853,148.724726,250014
10173,-20.274890,148.724730,250015
10173,-20.274927,148.724726,250016
10173,-20.274962,148.724714,250017
10173,-20.274994,148.724694,250018
10173,-20.275022,148.724667,250019
10173,-20.275043,148.724635,250020
10173,-20.275057,148.724604,250021
10173,-20.275269,148.724673,250022
10173,-20.275710,148.724920,250023
10173,-20.276426,148.725462,250024
10173,-20.277027,148.725927,250025
10173,-20.277361,148.726245,250026
10173,-20.277847,148.726811,250027
10173,-20.277847,148.726811,260001
10173,-20.278053,148.727050,260002
10173,-20.278898,148.728047,260003
10173,-20.279120,148.728238,260004
10173,-20.279397,148.728364,260005
10173,-20.280145,148.728608,260006
10173,-20.280457,148.728718,260007
10173,-20.280659,148.728841,260008
10173,-20.280803,148.729000,260009
10173,-20.280866,148.729139,260010
10173,-20.280976,148.729567,260011
10173,-20.281087,148.730616,260012
10173,-20.281130,148.731054,260013
10173,-20.281130,148.731054,270001
10173,-20.281261,148.732366,270002
10173,-20.281534,148.734627,270003
10173,-20.281534,148.734627,280001
10173,-20.281538,148.734663,280002
10173,-20.281593,148.734877,280003
10173,-20.281676,148.735098,280004
10173,-20.281822,148.735386,280005
10173,-20.281995,148.735600,280006
10173,-20.282306,148.735992,280007
10173,-20.282812,148.736597,280008
10173,-20.283013,148.736870,280009
10173,-20.283110,148.737033,280010
10173,-20.283248,148.737380,280011
10173,-20.283297,148.737646,280012
10173,-20.283359,148.738473,280013
10173,-20.283384,148.738842,280014
10173,-20.283384,148.738842,290001
10173,-20.283477,148.740178,290002
10173,-20.283567,148.741559,290003
10173,-20.283557,148.741919,290004
10173,-20.283557,148.741919,300001
10173,-20.283553,148.742128,300002
10173,-20.283444,148.742562,300003
10173,-20.283235,148.742969,300004
10173,-20.283027,148.743206,300005
10173,-20.282715,148.743412,300006
10173,-20.281614,148.743981,300007
10173,-20.281372,148.744092,300008
10173,-20.281122,148.744158,300009
10173,-20.280887,148.744173,300010
10173,-20.280513,148.744091,300011
10173,-20.280236,148.743951,300012
10173,-20.279862,148.743663,300013
10173,-20.279612,148.743516,300014
10173,-20.279287,148.743420,300015
10173,-20.278961,148.743390,300016
10173,-20.277507,148.743397,300017
10173,-20.277216,148.743405,300018
10173,-20.276911,148.743464,300019
10173,-20.276516,148.743568,300020
10173,-20.276239,148.743619,300021
10173,-20.275914,148.743597,300022
10173,-20.275692,148.743501,300023
10173,-20.275463,148.743435,300024
10173,-20.275235,148.743398,300025
10173,-20.274958,148.743398,300026
10173,-20.274514,148.743501,300027
10173,-20.274272,148.743568,300028
10173,-20.274050,148.743694,300029
10173,-20.273718,148.743996,300030
10173,-20.273087,148.744630,300031
10173,-20.272568,148.745170,300032
10173,-20.272053,148.745662,300033
10173,-20.271529,148.746307,300034
10173,-20.271195,148.746764,300035
10173,-20.271081,148.747129,300036
10173,-20.271023,148.747687,300037
10173,-20.271072,148.748020,300038
10173,-20.271183,148.748470,300039
10173,-20.271342,148.748987,300040
10173,-20.271494,148.749378,300041
10173,-20.271667,148.749714,300042
10173,-20.271667,148.749714,310001
10173,-20.271716,148.749807,310002
10173,-20.271979,148.750161,310003
10173,-20.272346,148.750508,310004
10173,-20.272775,148.750796,310005
10173,-20.274971,148.751852,310006
10173,-20.275685,148.752229,310007
10173,-20.276545,148.752714,310008
10173,-20.276703,148.752822,310009
10173,-20.276703,148.752822,320001
10173,-20.277797,148.753572,320002
10173,-20.278682,148.754207,320003
10173,-20.278948,148.754436,320004
10173,-20.279023,148.754507,320005
10173,-20.279023,148.754507,330001
10173,-20.280784,148.756183,330002
10173,-20.281438,148.756839,330003
10173,-20.281935,148.757411,330004
10173,-20.282380,148.758080,330005
10173,-20.282812,148.758945,330006
10173,-20.283335,148.760242,330007
10173,-20.283610,148.760982,330008
10173,-20.283976,148.762320,330009
10173,-20.284166,148.763359,330010
10173,-20.284241,148.763769,330011
10173,-20.284279,148.763919,330012
10173,-20.284279,148.763919,340001
10173,-20.284448,148.764572,340002
10173,-20.284714,148.765202,340003
10173,-20.285157,148.766131,340004
10173,-20.285586,148.767769,340005
10173,-20.285686,148.768122,340006
10173,-20.285833,148.768477,340007
10173,-20.286028,148.768803,340008
10173,-20.286327,148.769198,340009
10173,-20.286521,148.769478,340010
10173,-20.286641,148.769757,340011
10173,-20.286636,148.770020,340012
